land_cover_land1_sea0_surface , soil_porosity_surface 1.0
geopotential_height_pblri , drag_coefficient_surface 0.0026890027802437544
transpiration_stress-onset_soil_moisture_surface , planetary_boundary_layer_height_surface 0.002551641780883074
planetary_boundary_layer_height_surface , transpiration_stress-onset_soil_moisture_surface 0.002551641780883074
drag_coefficient_surface , temperature_surface 0.0025112200528383255
temperature_surface , drag_coefficient_surface 0.0025112200528383255
drag_coefficient_surface , geopotential_height_surface 0.002367372391745448
geopotential_height_surface , drag_coefficient_surface 0.002367372391745448
pressure_reduced_to_msl_msl , transpiration_stress-onset_soil_moisture_surface 0.0023601630236953497
transpiration_stress-onset_soil_moisture_surface , pressure_reduced_to_msl_msl 0.0023601630236953497
geopotential_height_pblri , v-component_of_wind_tropopause 0.0022436908911913633
v-component_of_wind_tropopause , geopotential_height_pblri 0.0022436908911913633
planetary_boundary_layer_height_surface , surface_roughness_surface 0.0021490182261914015
surface_roughness_surface , planetary_boundary_layer_height_surface 0.0021490182261914015
planetary_boundary_layer_height_surface , soil_type_as_in_zobler_surface 0.002100420882925391
soil_type_as_in_zobler_surface , planetary_boundary_layer_height_surface 0.002100420882925391
planetary_boundary_layer_height_surface , wilting_point_surface 0.002017559250816703
planetary_boundary_layer_height_surface , direct_evaporation_cease_soil_moisture_surface 0.002017559250816703
wilting_point_surface , planetary_boundary_layer_height_surface 0.002017559250816703
direct_evaporation_cease_soil_moisture_surface , planetary_boundary_layer_height_surface 0.002017559250816703
drag_coefficient_surface , friction_velocity_surface 0.0019331894582137465
friction_velocity_surface , drag_coefficient_surface 0.0019331894582137465
sensible_heat_net_flux_surface , v-component_of_wind_tropopause 0.0017803863156586885
v-component_of_wind_tropopause , sensible_heat_net_flux_surface 0.0017803863156586885
latent_heat_net_flux_surface , v-component_of_wind_tropopause 0.0017726144287735224
v-component_of_wind_tropopause , latent_heat_net_flux_surface 0.0017726144287735224
pressure_surface , latent_heat_net_flux_surface 0.0016861932817846537
latent_heat_net_flux_surface , pressure_surface 0.0016861932817846537
v-component_of_wind_maximum_wind , geopotential_height_pblri 0.0015470377402380109
geopotential_height_pblri , v-component_of_wind_maximum_wind 0.0015470377402380109
convective_inhibition_surface , planetary_boundary_layer_height_surface 0.001472632517106831
planetary_boundary_layer_height_surface , convective_inhibition_surface 0.001472632517106831
upward_short_wave_rad_flux_surface , v-component_of_wind_pblri 0.001468371949158609
v-component_of_wind_pblri , upward_short_wave_rad_flux_surface 0.001468371949158609
geopotential_height_lltw , drag_coefficient_surface 0.0013908599503338337
drag_coefficient_surface , geopotential_height_lltw 0.0013908599503338337
categorical_freezing_rain_yes1_no0_surface , planetary_boundary_layer_height_surface 0.001363952993415296
planetary_boundary_layer_height_surface , categorical_freezing_rain_yes1_no0_surface 0.001363952993415296
categorical_ice_pellets_yes1_no0_surface , geopotential_height_surface 0.0013525898102670908
geopotential_height_surface , categorical_ice_pellets_yes1_no0_surface 0.0013525898102670908
categorical_freezing_rain_yes1_no0_surface , total_cloud_cover_entire_atmosphere 0.0012936581624671817
total_cloud_cover_entire_atmosphere , categorical_freezing_rain_yes1_no0_surface 0.0012936581624671817
vegitation_type_as_in_sib_surface , planetary_boundary_layer_height_surface 0.0012916012201458216
planetary_boundary_layer_height_surface , vegitation_type_as_in_sib_surface 0.0012916012201458216
categorical_ice_pellets_yes1_no0_surface , planetary_boundary_layer_height_surface 0.0012693455209955573
planetary_boundary_layer_height_surface , categorical_ice_pellets_yes1_no0_surface 0.0012693455209955573
sensible_heat_net_flux_surface , pressure_surface 0.0011783614754676819
pressure_surface , sensible_heat_net_flux_surface 0.0011783614754676819
drag_coefficient_surface , vegitation_type_as_in_sib_surface 0.0011121062561869621
vegitation_type_as_in_sib_surface , drag_coefficient_surface 0.0011121062561869621
drag_coefficient_surface , geopotential_height_zerodegc_isotherm 0.0010965900728479028
geopotential_height_zerodegc_isotherm , drag_coefficient_surface 0.0010965900728479028
vegetation_surface , pressure_tropopause 0.0010890389094129205
pressure_tropopause , vegetation_surface 0.0010890389094129205
sensible_heat_net_flux_surface , v-component_of_wind_maximum_wind 0.0010728798806667328
v-component_of_wind_maximum_wind , sensible_heat_net_flux_surface 0.0010728798806667328
v-component_of_wind_maximum_wind , latent_heat_net_flux_surface 0.0010654147481545806
latent_heat_net_flux_surface , v-component_of_wind_maximum_wind 0.0010654147481545806
maximumcomposite_radar_reflectivity_entire_atmosphere , geopotential_height_surface 0.0009535450371913612
geopotential_height_surface , maximumcomposite_radar_reflectivity_entire_atmosphere 0.0009535450371913612
lightning_surface , soil_type_as_in_zobler_surface 0.0009429624187760055
soil_type_as_in_zobler_surface , lightning_surface 0.0009429624187760055
categorical_ice_pellets_yes1_no0_surface , total_cloud_cover_entire_atmosphere 0.0008630590746179223
total_cloud_cover_entire_atmosphere , categorical_ice_pellets_yes1_no0_surface 0.0008630590746179223
drag_coefficient_surface , lightning_surface 0.0005998637643642724
lightning_surface , drag_coefficient_surface 0.0005998637643642724
total_cloud_cover_entire_atmosphere , surface_roughness_surface 0.0005700591136701405
surface_roughness_surface , total_cloud_cover_entire_atmosphere 0.0005700591136701405
drag_coefficient_surface , downward_long_wave_rad_flux_surface 0.0005550045752897859
downward_long_wave_rad_flux_surface , drag_coefficient_surface 0.0005550045752897859
drag_coefficient_surface , visibility_surface 0.0005388481658883393
visibility_surface , drag_coefficient_surface 0.0005388481658883393
number_of_soil_layers_in_root_zone_surface , total_cloud_cover_entire_atmosphere 0.0005338727496564388
total_cloud_cover_entire_atmosphere , number_of_soil_layers_in_root_zone_surface 0.0005338727496564388
convective_available_potential_energy_surface , latent_heat_net_flux_surface 0.0005121225258335471
latent_heat_net_flux_surface , convective_available_potential_energy_surface 0.0005121225258335471
total_cloud_cover_entire_atmosphere , land_cover_land1_sea0_surface 0.0005055991932749748
total_cloud_cover_entire_atmosphere , soil_porosity_surface 0.0005055991932749748
land_cover_land1_sea0_surface , total_cloud_cover_entire_atmosphere 0.0005055991932749748
soil_porosity_surface , total_cloud_cover_entire_atmosphere 0.0005055991932749748
drag_coefficient_surface , albedo_surface 0.0005034910864196718
albedo_surface , drag_coefficient_surface 0.0005034910864196718
pressure_surface , v-component_of_wind_tropopause 0.0004978913930244744
v-component_of_wind_tropopause , pressure_surface 0.0004978913930244744
pressure_reduced_to_msl_msl , land_cover_land1_sea0_surface 0.0004708277410827577
pressure_reduced_to_msl_msl , soil_porosity_surface 0.0004708277410827577
land_cover_land1_sea0_surface , pressure_reduced_to_msl_msl 0.0004708277410827577
soil_porosity_surface , pressure_reduced_to_msl_msl 0.0004708277410827577
categorical_ice_pellets_yes1_no0_surface , ice_cover_ice1_no_ice0_surface 0.00043923439807258546
ice_cover_ice1_no_ice0_surface , categorical_ice_pellets_yes1_no0_surface 0.00043923439807258546
drag_coefficient_surface , pressure_reduced_to_msl_msl 0.00042270513949915767
pressure_reduced_to_msl_msl , drag_coefficient_surface 0.00042270513949915767
total_cloud_cover_entire_atmosphere , transpiration_stress-onset_soil_moisture_surface 0.00040636732592247427
transpiration_stress-onset_soil_moisture_surface , total_cloud_cover_entire_atmosphere 0.00040636732592247427
planetary_boundary_layer_height_surface , v-component_of_wind_maximum_wind 0.00040194144821725786
v-component_of_wind_maximum_wind , planetary_boundary_layer_height_surface 0.00040194144821725786
drag_coefficient_surface , plant_canopy_surface_water_surface 0.0003989270480815321
plant_canopy_surface_water_surface , drag_coefficient_surface 0.0003989270480815321
total_cloud_cover_entire_atmosphere , vegitation_type_as_in_sib_surface 0.0003719735541380942
vegitation_type_as_in_sib_surface , total_cloud_cover_entire_atmosphere 0.0003719735541380942
sensible_heat_net_flux_surface , plant_canopy_surface_water_surface 0.00032082476536743343
plant_canopy_surface_water_surface , sensible_heat_net_flux_surface 0.00032082476536743343
total_cloud_cover_entire_atmosphere , convective_inhibition_surface 0.0003158397157676518
convective_inhibition_surface , total_cloud_cover_entire_atmosphere 0.0003158397157676518
total_cloud_cover_entire_atmosphere , soil_type_as_in_zobler_surface 0.0003137581516057253
soil_type_as_in_zobler_surface , total_cloud_cover_entire_atmosphere 0.0003137581516057253
total_cloud_cover_entire_atmosphere , geopotential_height_surface 0.0002880007086787373
geopotential_height_surface , total_cloud_cover_entire_atmosphere 0.0002880007086787373
drag_coefficient_surface , v-component_of_wind_tropopause 0.00027665478410199285
v-component_of_wind_tropopause , drag_coefficient_surface 0.00027665478410199285
drag_coefficient_surface , v-component_of_wind_maximum_wind 0.0002581964654382318
v-component_of_wind_maximum_wind , drag_coefficient_surface 0.0002581964654382318
categorical_ice_pellets_yes1_no0_surface , vegetation_surface 0.0002309860137756914
vegetation_surface , categorical_ice_pellets_yes1_no0_surface 0.0002309860137756914
drag_coefficient_surface , planetary_boundary_layer_height_surface 0.00021988835942465812
planetary_boundary_layer_height_surface , drag_coefficient_surface 0.00021988835942465812
drag_coefficient_surface , temperature_tropopause 0.00019125409016851336
temperature_tropopause , drag_coefficient_surface 0.00019125409016851336
drag_coefficient_surface , mean_sea_level_pressure_nam_model_reduction_msl 0.00019016885198652744
mean_sea_level_pressure_nam_model_reduction_msl , drag_coefficient_surface 0.00019016885198652744
drag_coefficient_surface , total_cloud_cover_entire_atmosphere 0.0001867477549239993
total_cloud_cover_entire_atmosphere , drag_coefficient_surface 0.0001867477549239993
total_cloud_cover_entire_atmosphere , wilting_point_surface 0.0001502915984019637
total_cloud_cover_entire_atmosphere , direct_evaporation_cease_soil_moisture_surface 0.0001502915984019637
wilting_point_surface , total_cloud_cover_entire_atmosphere 0.0001502915984019637
direct_evaporation_cease_soil_moisture_surface , total_cloud_cover_entire_atmosphere 0.0001502915984019637
sensible_heat_net_flux_surface , convective_available_potential_energy_surface 0.00014166002802085131
convective_available_potential_energy_surface , sensible_heat_net_flux_surface 0.00014166002802085131
plant_canopy_surface_water_surface , latent_heat_net_flux_surface 0.00013247794413473457
latent_heat_net_flux_surface , plant_canopy_surface_water_surface 0.00013247794413473457
drag_coefficient_surface , v-component_of_wind_pblri 6.419436249416322e-05
v-component_of_wind_pblri , drag_coefficient_surface 6.419436249416322e-05
sensible_heat_net_flux_surface , wilting_point_surface 4.5069766201777384e-05
sensible_heat_net_flux_surface , direct_evaporation_cease_soil_moisture_surface 4.5069766201777384e-05
wilting_point_surface , sensible_heat_net_flux_surface 4.5069766201777384e-05
direct_evaporation_cease_soil_moisture_surface , sensible_heat_net_flux_surface 4.5069766201777384e-05
number_of_soil_layers_in_root_zone_surface , pressure_reduced_to_msl_msl 3.9761540392646566e-05
pressure_reduced_to_msl_msl , number_of_soil_layers_in_root_zone_surface 3.9761540392646566e-05
drag_coefficient_surface , categorical_freezing_rain_yes1_no0_surface 2.5277377062593587e-06
categorical_freezing_rain_yes1_no0_surface , drag_coefficient_surface 2.5277377062593587e-06
drag_coefficient_surface , categorical_ice_pellets_yes1_no0_surface -5.8656638429965824e-05
categorical_ice_pellets_yes1_no0_surface , drag_coefficient_surface -5.8656638429965824e-05
drag_coefficient_surface , categorical_rain_yes1_no0_surface -9.218537888955325e-05
categorical_rain_yes1_no0_surface , drag_coefficient_surface -9.218537888955325e-05
drag_coefficient_surface , u-component_of_wind_pblri -9.40119061851874e-05
u-component_of_wind_pblri , drag_coefficient_surface -9.40119061851874e-05
v-component_of_wind_pblri , pressure_maximum_wind -9.910396329360083e-05
pressure_maximum_wind , v-component_of_wind_pblri -9.910396329360083e-05
sensible_heat_net_flux_surface , geopotential_height_surface -0.00010075730824610218
geopotential_height_surface , sensible_heat_net_flux_surface -0.00010075730824610218
drag_coefficient_surface , pressure_maximum_wind -0.00011215644190087914
pressure_maximum_wind , drag_coefficient_surface -0.00011215644190087914
sensible_heat_net_flux_surface , soil_type_as_in_zobler_surface -0.00012136494478909299
soil_type_as_in_zobler_surface , sensible_heat_net_flux_surface -0.00012136494478909299
total_cloud_cover_entire_atmosphere , convective_available_potential_energy_surface -0.00013506413961295038
convective_available_potential_energy_surface , total_cloud_cover_entire_atmosphere -0.00013506413961295038
drag_coefficient_surface , precipitable_water_entire_atmosphere -0.00017653958639129996
precipitable_water_entire_atmosphere , drag_coefficient_surface -0.00017653958639129996
drag_coefficient_surface , sensible_heat_net_flux_surface -0.0001795036077965051
sensible_heat_net_flux_surface , drag_coefficient_surface -0.0001795036077965051
drag_coefficient_surface , latent_heat_net_flux_surface -0.00018202525097876787
latent_heat_net_flux_surface , drag_coefficient_surface -0.00018202525097876787
sensible_heat_net_flux_surface , transpiration_stress-onset_soil_moisture_surface -0.00019129605789203197
transpiration_stress-onset_soil_moisture_surface , sensible_heat_net_flux_surface -0.00019129605789203197
planetary_boundary_layer_height_surface , plant_canopy_surface_water_surface -0.00021438169642351568
plant_canopy_surface_water_surface , planetary_boundary_layer_height_surface -0.00021438169642351568
sensible_heat_net_flux_surface , vegitation_type_as_in_sib_surface -0.00022535957396030426
vegitation_type_as_in_sib_surface , sensible_heat_net_flux_surface -0.00022535957396030426
convective_inhibition_surface , latent_heat_net_flux_surface -0.00025262657436542213
latent_heat_net_flux_surface , convective_inhibition_surface -0.00025262657436542213
sensible_heat_net_flux_surface , convective_inhibition_surface -0.0002601140004117042
convective_inhibition_surface , sensible_heat_net_flux_surface -0.0002601140004117042
drag_coefficient_surface , convective_available_potential_energy_surface -0.00026975461514666677
convective_available_potential_energy_surface , drag_coefficient_surface -0.00026975461514666677
sensible_heat_net_flux_surface , land_cover_land1_sea0_surface -0.00028757352265529335
sensible_heat_net_flux_surface , soil_porosity_surface -0.00028757352265529335
land_cover_land1_sea0_surface , sensible_heat_net_flux_surface -0.00028757352265529335
soil_porosity_surface , sensible_heat_net_flux_surface -0.00028757352265529335
v-component_of_wind_pblri , snow_cover_surface -0.00030268303817138076
snow_cover_surface , v-component_of_wind_pblri -0.00030268303817138076
planetary_boundary_layer_height_surface , v-component_of_wind_tropopause -0.0003100746253039688
v-component_of_wind_tropopause , planetary_boundary_layer_height_surface -0.0003100746253039688
sensible_heat_net_flux_surface , number_of_soil_layers_in_root_zone_surface -0.0003293581248726696
number_of_soil_layers_in_root_zone_surface , sensible_heat_net_flux_surface -0.0003293581248726696
drag_coefficient_surface , geopotential_height_cloud_base -0.0003570823755580932
geopotential_height_cloud_base , drag_coefficient_surface -0.0003570823755580932
drag_coefficient_surface , pressure_tropopause -0.0003606432001106441
pressure_tropopause , drag_coefficient_surface -0.0003606432001106441
drag_coefficient_surface , categorical_snow_yes1_no0_surface -0.00036403705598786473
categorical_snow_yes1_no0_surface , drag_coefficient_surface -0.00036403705598786473
drag_coefficient_surface , relative_humidity_zerodegc_isotherm -0.000422772514866665
relative_humidity_zerodegc_isotherm , drag_coefficient_surface -0.000422772514866665
total_cloud_cover_entire_atmosphere , plant_canopy_surface_water_surface -0.00043192662997171283
plant_canopy_surface_water_surface , total_cloud_cover_entire_atmosphere -0.00043192662997171283
categorical_ice_pellets_yes1_no0_surface , categorical_freezing_rain_yes1_no0_surface -0.0004580189997795969
categorical_freezing_rain_yes1_no0_surface , categorical_ice_pellets_yes1_no0_surface -0.0004580189997795969
sensible_heat_net_flux_surface , surface_roughness_surface -0.00046052117249928415
surface_roughness_surface , sensible_heat_net_flux_surface -0.00046052117249928415
water_equiv_of_accum_snow_depth_surface , drag_coefficient_surface -0.0005206253263168037
drag_coefficient_surface , water_equiv_of_accum_snow_depth_surface -0.0005206253263168037
latent_heat_net_flux_surface , wilting_point_surface -0.0005327153485268354
latent_heat_net_flux_surface , direct_evaporation_cease_soil_moisture_surface -0.0005327153485268354
wilting_point_surface , latent_heat_net_flux_surface -0.0005327153485268354
direct_evaporation_cease_soil_moisture_surface , latent_heat_net_flux_surface -0.0005327153485268354
planetary_boundary_layer_height_surface , convective_available_potential_energy_surface -0.0005442000110633671
convective_available_potential_energy_surface , planetary_boundary_layer_height_surface -0.0005442000110633671
geopotential_height_surface , latent_heat_net_flux_surface -0.0005917927483096719
latent_heat_net_flux_surface , geopotential_height_surface -0.0005917927483096719
drag_coefficient_surface , ice_cover_ice1_no_ice0_surface -0.000594466517213732
ice_cover_ice1_no_ice0_surface , drag_coefficient_surface -0.000594466517213732
pressure_reduced_to_msl_msl , vegitation_type_as_in_sib_surface -0.0006014041719026864
vegitation_type_as_in_sib_surface , pressure_reduced_to_msl_msl -0.0006014041719026864
drag_coefficient_surface , snow_depth_surface -0.0006342032575048506
snow_depth_surface , drag_coefficient_surface -0.0006342032575048506
geopotential_height_cloud_base , geopotential_height_surface -0.0006632800213992596
geopotential_height_surface , geopotential_height_cloud_base -0.0006632800213992596
categorical_rain_yes1_no0_surface , geopotential_height_zerodegc_isotherm -0.0006737614166922867
geopotential_height_zerodegc_isotherm , categorical_rain_yes1_no0_surface -0.0006737614166922867
drag_coefficient_surface , convective_inhibition_surface -0.0006756237125955522
convective_inhibition_surface , drag_coefficient_surface -0.0006756237125955522
soil_type_as_in_zobler_surface , latent_heat_net_flux_surface -0.0006791359046474099
latent_heat_net_flux_surface , soil_type_as_in_zobler_surface -0.0006791359046474099
vegitation_type_as_in_sib_surface , latent_heat_net_flux_surface -0.0007046465761959553
latent_heat_net_flux_surface , vegitation_type_as_in_sib_surface -0.0007046465761959553
drag_coefficient_surface , snow_cover_surface -0.0007304148748517036
snow_cover_surface , drag_coefficient_surface -0.0007304148748517036
latent_heat_net_flux_surface , surface_roughness_surface -0.0008305897936224937
surface_roughness_surface , latent_heat_net_flux_surface -0.0008305897936224937
transpiration_stress-onset_soil_moisture_surface , latent_heat_net_flux_surface -0.000855263031553477
latent_heat_net_flux_surface , transpiration_stress-onset_soil_moisture_surface -0.000855263031553477
sensible_heat_net_flux_surface , categorical_ice_pellets_yes1_no0_surface -0.0008583205635659397
categorical_ice_pellets_yes1_no0_surface , sensible_heat_net_flux_surface -0.0008583205635659397
categorical_ice_pellets_yes1_no0_surface , mean_sea_level_pressure_nam_model_reduction_msl -0.000865951064042747
mean_sea_level_pressure_nam_model_reduction_msl , categorical_ice_pellets_yes1_no0_surface -0.000865951064042747
categorical_ice_pellets_yes1_no0_surface , latent_heat_net_flux_surface -0.0008729718974791467
latent_heat_net_flux_surface , categorical_ice_pellets_yes1_no0_surface -0.0008729718974791467
land_cover_land1_sea0_surface , latent_heat_net_flux_surface -0.0009657770278863609
soil_porosity_surface , latent_heat_net_flux_surface -0.0009657770278863609
latent_heat_net_flux_surface , land_cover_land1_sea0_surface -0.0009657770278863609
latent_heat_net_flux_surface , soil_porosity_surface -0.0009657770278863609
drag_coefficient_surface , u-component_of_wind_tropopause -0.000974358816165477
u-component_of_wind_tropopause , drag_coefficient_surface -0.000974358816165477
number_of_soil_layers_in_root_zone_surface , latent_heat_net_flux_surface -0.00098109629470855
latent_heat_net_flux_surface , number_of_soil_layers_in_root_zone_surface -0.00098109629470855
total_cloud_cover_entire_atmosphere , v-component_of_wind_maximum_wind -0.001041487674228847
v-component_of_wind_maximum_wind , total_cloud_cover_entire_atmosphere -0.001041487674228847
drag_coefficient_surface , maximumcomposite_radar_reflectivity_entire_atmosphere -0.0010707104811444879
maximumcomposite_radar_reflectivity_entire_atmosphere , drag_coefficient_surface -0.0010707104811444879
drag_coefficient_surface , u-component_of_wind_maximum_wind -0.0012556882575154305
u-component_of_wind_maximum_wind , drag_coefficient_surface -0.0012556882575154305
sensible_heat_net_flux_surface , categorical_freezing_rain_yes1_no0_surface -0.0013055982999503613
categorical_freezing_rain_yes1_no0_surface , sensible_heat_net_flux_surface -0.0013055982999503613
vegitation_type_as_in_sib_surface , v-component_of_wind_maximum_wind -0.0013207681477069855
v-component_of_wind_maximum_wind , vegitation_type_as_in_sib_surface -0.0013207681477069855
categorical_freezing_rain_yes1_no0_surface , latent_heat_net_flux_surface -0.0013232930796220899
latent_heat_net_flux_surface , categorical_freezing_rain_yes1_no0_surface -0.0013232930796220899
total_cloud_cover_entire_atmosphere , pressure_surface -0.0013602371327579021
pressure_surface , total_cloud_cover_entire_atmosphere -0.0013602371327579021
pressure_surface , downward_short_wave_rad_flux_surface -0.0015754536725580692
downward_short_wave_rad_flux_surface , pressure_surface -0.0015754536725580692
categorical_ice_pellets_yes1_no0_surface , pressure_reduced_to_msl_msl -0.001613300177268684
pressure_reduced_to_msl_msl , categorical_ice_pellets_yes1_no0_surface -0.001613300177268684
ice_cover_ice1_no_ice0_surface , v-component_of_wind_maximum_wind -0.0017468350706622005
v-component_of_wind_maximum_wind , ice_cover_ice1_no_ice0_surface -0.0017468350706622005
total_cloud_cover_entire_atmosphere , v-component_of_wind_tropopause -0.0017554607475176454
v-component_of_wind_tropopause , total_cloud_cover_entire_atmosphere -0.0017554607475176454
total_cloud_cover_entire_atmosphere , geopotential_height_pblri -0.0018896176479756832
geopotential_height_pblri , total_cloud_cover_entire_atmosphere -0.0018896176479756832
pressure_reduced_to_msl_msl , upward_short_wave_rad_flux_surface -0.002076482865959406
upward_short_wave_rad_flux_surface , pressure_reduced_to_msl_msl -0.002076482865959406
v-component_of_wind_pblri , geopotential_height_zerodegc_isotherm -0.0022240164689719677
geopotential_height_zerodegc_isotherm , v-component_of_wind_pblri -0.0022240164689719677
drag_coefficient_surface , pressure_surface -0.0022841468453407288
pressure_surface , drag_coefficient_surface -0.0022841468453407288
ice_cover_ice1_no_ice0_surface , v-component_of_wind_tropopause -0.002321378095075488
v-component_of_wind_tropopause , ice_cover_ice1_no_ice0_surface -0.002321378095075488
categorical_ice_pellets_yes1_no0_surface , pressure_maximum_wind -0.0023662021849304438
pressure_maximum_wind , categorical_ice_pellets_yes1_no0_surface -0.0023662021849304438
pressure_surface , v-component_of_wind_maximum_wind -0.0023875790648162365
v-component_of_wind_maximum_wind , pressure_surface -0.0023875790648162365
vegetation_surface , planetary_boundary_layer_height_surface -0.0025603952817618847
planetary_boundary_layer_height_surface , vegetation_surface -0.0025603952817618847
categorical_ice_pellets_yes1_no0_surface , lightning_surface -0.0025829742662608624
lightning_surface , categorical_ice_pellets_yes1_no0_surface -0.0025829742662608624
categorical_ice_pellets_yes1_no0_surface , pressure_surface -0.002648238092660904
pressure_surface , categorical_ice_pellets_yes1_no0_surface -0.002648238092660904
categorical_ice_pellets_yes1_no0_surface , geopotential_height_pblri -0.002695745788514614
geopotential_height_pblri , categorical_ice_pellets_yes1_no0_surface -0.002695745788514614
u-component_of_wind_tropopause , ice_cover_ice1_no_ice0_surface -0.0027423135470598936
ice_cover_ice1_no_ice0_surface , u-component_of_wind_tropopause -0.0027423135470598936
sensible_heat_net_flux_surface , pressure_maximum_wind -0.0027839853428304195
pressure_maximum_wind , sensible_heat_net_flux_surface -0.0027839853428304195
categorical_ice_pellets_yes1_no0_surface , categorical_snow_yes1_no0_surface -0.0029370656702667475
categorical_snow_yes1_no0_surface , categorical_ice_pellets_yes1_no0_surface -0.0029370656702667475
latent_heat_net_flux_surface , pressure_maximum_wind -0.0029481432866305113
pressure_maximum_wind , latent_heat_net_flux_surface -0.0029481432866305113
lightning_surface , wilting_point_surface -0.0029813051223754883
lightning_surface , direct_evaporation_cease_soil_moisture_surface -0.0029813051223754883
wilting_point_surface , lightning_surface -0.0029813051223754883
direct_evaporation_cease_soil_moisture_surface , lightning_surface -0.0029813051223754883
categorical_freezing_rain_yes1_no0_surface , lightning_surface -0.0031876005232334137
lightning_surface , categorical_freezing_rain_yes1_no0_surface -0.0031876005232334137
upward_short_wave_rad_flux_surface , categorical_snow_yes1_no0_surface -0.0035019759088754654
categorical_snow_yes1_no0_surface , upward_short_wave_rad_flux_surface -0.0035019759088754654
number_of_soil_layers_in_root_zone_surface , lightning_surface -0.0037589906714856625
lightning_surface , number_of_soil_layers_in_root_zone_surface -0.0037589906714856625
categorical_ice_pellets_yes1_no0_surface , upward_short_wave_rad_flux_surface -0.003817769465968013
upward_short_wave_rad_flux_surface , categorical_ice_pellets_yes1_no0_surface -0.003817769465968013
sensible_heat_net_flux_surface , temperature_tropopause -0.00418391777202487
temperature_tropopause , sensible_heat_net_flux_surface -0.00418391777202487
categorical_ice_pellets_yes1_no0_surface , precipitable_water_entire_atmosphere -0.004341623280197382
precipitable_water_entire_atmosphere , categorical_ice_pellets_yes1_no0_surface -0.004341623280197382
v-component_of_wind_pblri , planetary_boundary_layer_height_surface -0.00439012236893177
planetary_boundary_layer_height_surface , v-component_of_wind_pblri -0.00439012236893177
categorical_freezing_rain_yes1_no0_surface , categorical_snow_yes1_no0_surface -0.00440243212506175
categorical_snow_yes1_no0_surface , categorical_freezing_rain_yes1_no0_surface -0.00440243212506175
lightning_surface , transpiration_stress-onset_soil_moisture_surface -0.004506133496761322
transpiration_stress-onset_soil_moisture_surface , lightning_surface -0.004506133496761322
total_cloud_cover_entire_atmosphere , v-component_of_wind_pblri -0.004564953036606312
v-component_of_wind_pblri , total_cloud_cover_entire_atmosphere -0.004564953036606312
pressure_surface , planetary_boundary_layer_height_surface -0.004600347951054573
planetary_boundary_layer_height_surface , pressure_surface -0.004600347951054573
latent_heat_net_flux_surface , temperature_tropopause -0.004677561577409506
temperature_tropopause , latent_heat_net_flux_surface -0.004677561577409506
land_cover_land1_sea0_surface , lightning_surface -0.004891726188361645
lightning_surface , land_cover_land1_sea0_surface -0.004891726188361645
lightning_surface , soil_porosity_surface -0.004891726188361645
soil_porosity_surface , lightning_surface -0.004891726188361645
drag_coefficient_surface , surface_wind_gust_surface -0.004907513037323952
surface_wind_gust_surface , drag_coefficient_surface -0.004907513037323952
total_cloud_cover_entire_atmosphere , vegetation_surface -0.005103465169668198
vegetation_surface , total_cloud_cover_entire_atmosphere -0.005103465169668198
sensible_heat_net_flux_surface , u-component_of_wind_pblri -0.005331769585609436
u-component_of_wind_pblri , sensible_heat_net_flux_surface -0.005331769585609436
categorical_ice_pellets_yes1_no0_surface , categorical_rain_yes1_no0_surface -0.005448331590741873
categorical_rain_yes1_no0_surface , categorical_ice_pellets_yes1_no0_surface -0.005448331590741873
categorical_freezing_rain_yes1_no0_surface , upward_short_wave_rad_flux_surface -0.005482882726937532
upward_short_wave_rad_flux_surface , categorical_freezing_rain_yes1_no0_surface -0.005482882726937532
latent_heat_net_flux_surface , u-component_of_wind_pblri -0.005600911099463701
u-component_of_wind_pblri , latent_heat_net_flux_surface -0.005600911099463701
pressure_reduced_to_msl_msl , soil_type_as_in_zobler_surface -0.005602832417935133
soil_type_as_in_zobler_surface , pressure_reduced_to_msl_msl -0.005602832417935133
vegitation_type_as_in_sib_surface , maximumcomposite_radar_reflectivity_entire_atmosphere -0.005750596523284912
maximumcomposite_radar_reflectivity_entire_atmosphere , vegitation_type_as_in_sib_surface -0.005750596523284912
number_of_soil_layers_in_root_zone_surface , categorical_rain_yes1_no0_surface -0.006025773473083973
categorical_rain_yes1_no0_surface , number_of_soil_layers_in_root_zone_surface -0.006025773473083973
categorical_freezing_rain_yes1_no0_surface , vegetation_surface -0.006149476859718561
vegetation_surface , categorical_freezing_rain_yes1_no0_surface -0.006149476859718561
v-component_of_wind_maximum_wind , pressure_maximum_wind -0.006462933029979467
pressure_maximum_wind , v-component_of_wind_maximum_wind -0.006462933029979467
surface_wind_gust_surface , snow_cover_surface -0.006483853794634342
snow_cover_surface , surface_wind_gust_surface -0.006483853794634342
total_cloud_cover_entire_atmosphere , mean_sea_level_pressure_nam_model_reduction_msl -0.006503393407911062
mean_sea_level_pressure_nam_model_reduction_msl , total_cloud_cover_entire_atmosphere -0.006503393407911062
planetary_boundary_layer_height_surface , temperature_surface -0.006533132400363684
temperature_surface , planetary_boundary_layer_height_surface -0.006533132400363684
sensible_heat_net_flux_surface , ice_cover_ice1_no_ice0_surface -0.006576997693628073
ice_cover_ice1_no_ice0_surface , sensible_heat_net_flux_surface -0.006576997693628073
pressure_reduced_to_msl_msl , total_cloud_cover_entire_atmosphere -0.006663141772150993
